sch_deid,grade,st,school_magnet,school_titlei,tr_ts,school_enroll,frpl_prop,asian_prop,black_prop,hisp_prop,white_prop,period,mean_orf,post
11388,4,OR,Not applicable,Title I schoolwide school,38,202,0.648514851485149,0.0967751558531968,0.222551720145875,0.0263157894736842,0.81578947368421,y1_boy,99.1707317073171,0
11388,4,OR,Not applicable,Title I schoolwide school,38,202,0.648514851485149,0.0967751558531968,0.222551720145875,0.0263157894736842,0.81578947368421,y1_moy,142.925,0
11388,4,OR,Not applicable,Title I schoolwide school,38,202,0.648514851485149,0.0967751558531968,0.222551720145875,0.0263157894736842,0.81578947368421,y2_boy,93.3888888888889,1
11388,4,OR,Not applicable,Title I schoolwide school,38,202,0.648514851485149,0.0967751558531968,0.222551720145875,0.0263157894736842,0.81578947368421,y2_moy,129.621621621622,1
11388,5,OR,Not applicable,Title I schoolwide school,46,202,0.648514851485149,0.076863739372306,0.0269850175475901,0.0869565217391304,0.804347826086957,y1_boy,107.555555555556,0
11388,5,OR,Not applicable,Title I schoolwide school,46,202,0.648514851485149,0.076863739372306,0.0269850175475901,0.0869565217391304,0.804347826086957,y1_moy,126.372093023256,0
11388,5,OR,Not applicable,Title I schoolwide school,46,202,0.648514851485149,0.076863739372306,0.0269850175475901,0.0869565217391304,0.804347826086957,y2_boy,114.533333333333,1
11388,5,OR,Not applicable,Title I schoolwide school,46,202,0.648514851485149,0.076863739372306,0.0269850175475901,0.0869565217391304,0.804347826086957,y2_moy,130.766666666667,1
11389,1,OR,Not applicable,Title I schoolwide school,52,272,0.856617647058824,0.0963531116599356,0,0.0576923076923077,0.884615384615385,y1_boy,19.7551020408163,0
11389,1,OR,Not applicable,Title I schoolwide school,52,272,0.856617647058824,0.0963531116599356,0,0.0576923076923077,0.884615384615385,y1_moy,37.3333333333333,0
11389,1,OR,Not applicable,Title I schoolwide school,52,272,0.856617647058824,0.0963531116599356,0,0.0576923076923077,0.884615384615385,y2_boy,3.44186046511628,1
11389,1,OR,Not applicable,Title I schoolwide school,52,272,0.856617647058824,0.0963531116599356,0,0.0576923076923077,0.884615384615385,y2_moy,12.5,1
11389,2,OR,Not applicable,Title I schoolwide school,50,272,0.856617647058824,0.0560844666090383,0.608598374798809,0.1,0.82,y1_boy,44.9591836734694,0
11389,2,OR,Not applicable,Title I schoolwide school,50,272,0.856617647058824,0.0560844666090383,0.608598374798809,0.1,0.82,y1_moy,71.1914893617021,0
11389,2,OR,Not applicable,Title I schoolwide school,50,272,0.856617647058824,0.0560844666090383,0.608598374798809,0.1,0.82,y2_boy,46.551724137931,1
11389,2,OR,Not applicable,Title I schoolwide school,50,272,0.856617647058824,0.0560844666090383,0.608598374798809,0.1,0.82,y2_moy,78.1111111111111,1
11389,3,OR,Not applicable,Title I schoolwide school,53,272,0.856617647058824,0.182756896948183,0,0.113207547169811,0.811320754716981,y1_boy,70.4181818181818,0
11389,3,OR,Not applicable,Title I schoolwide school,53,272,0.856617647058824,0.182756896948183,0,0.113207547169811,0.811320754716981,y1_moy,103.745454545455,0
11389,3,OR,Not applicable,Title I schoolwide school,53,272,0.856617647058824,0.182756896948183,0,0.113207547169811,0.811320754716981,y2_boy,59.2333333333333,1
11389,3,OR,Not applicable,Title I schoolwide school,53,272,0.856617647058824,0.182756896948183,0,0.113207547169811,0.811320754716981,y2_moy,72.6842105263158,1
11389,4,OR,Not applicable,Title I schoolwide school,49,272,0.856617647058824,0.183856642493877,0.40637075955309,0.0816326530612245,0.816326530612245,y1_boy,98.8541666666667,0
11389,4,OR,Not applicable,Title I schoolwide school,49,272,0.856617647058824,0.183856642493877,0.40637075955309,0.0816326530612245,0.816326530612245,y1_moy,138.958333333333,0
