sedalea,sedaleaname,fips,stateabb,math,read,pernam,perasn,perhsp,perblk,perwht,perfl,perecd,perell,perspeced,totenrl,rsflnfl,sesavgall,lninc50avgall,baplusavgall,unempavgall,snapavgall,single_momavgall,locale
1733990,RIVERSIDE SD 96                                             ,17,IL,0.417567872626715,0.40487240144538,1.3711263e-05,0.021719161,0.26494515,0.028787397,0.68453455,0.11968337,0.14778094,0.046768431,0.13812223,1085.8,0.0032038037,1.0956777,11.27354,0.48643205,0.074740477,0.051220089,0.15779878,Suburb
1734100,RIVERTON CUSD 14                                            ,17,IL,-0.0952307091383704,-0.100138162020815,0.0031776063,0.0049637216,0.0083926646,0.021346092,0.96211994,0.43118417,0.49518281,0.0018543795,0.21519399,644.8,0,-0.12372786,10.961242,0.19656228,0.05929831,0.13314222,0.19922641,Suburb
1734110,RIVERVIEW CCSD 2                                            ,17,IL,-0.109447218870045,-0.0274127279364689,0.0026631223,0.004317651,0.009984972,0.01080525,0.972229,0.38012946,0.42530987,0.0012448133,0.18290442,150.5,0,0.40621608,10.973351,0.15103444,0.066140831,0.081469603,0.13458632,Rural
1734140,ROANOKE BENSON CUSD 60                                      ,17,IL,0.174381647490657,0.216529937105582,0,0.0082574273,0.018584292,0.0057381568,0.9674201,0.18938042,0.24689201,0,0.15343378,253.1,0,0.89247751,11.000289,0.15599862,0.054513257,0.040770654,0.094703831,Rural
1734170,ROBEIN SD 85                                                ,17,IL,0.0349835319741987,0.115321231170699,0,0.0056113,0.014179589,0.011305575,0.96890354,0.22518554,0.3220033,0.003921736,0.22184037,118.6,0,0.71894622,10.998598,0.22220084,0.056725077,0.07043466,0.14018007,Suburb
1734230,ROBINSON CUSD 2                                             ,17,IL,-0.0600406674871296,0.0819111259881331,0.0011583802,0.005896084,0.025578905,0.013666715,0.95369995,0.39105263,0.4760538,0.00030979197,0.17790383,692.5,0,-0.05208689,10.718773,0.15795761,0.074826725,0.13869116,0.13149209,Town
1734260,ROCHELLE CCSD 231                                           ,17,IL,-0.0223838033745847,0.00133303670601585,0.0030731473,0.0077730012,0.38842952,0.021032657,0.57969165,0.44182378,0.53123051,0.14059582,0.16674714,1066.6,0.049040131,0.13932632,10.858399,0.14867361,0.080167174,0.1130752,0.15464152,Town
1734320,ROCHESTER CUSD 3A                                           ,17,IL,0.23761556343619,0.144122455579514,0.00099182758,0.011908502,0.011504217,0.018776,0.95681947,0.094736338,0.11187029,0.0069678403,0.13065779,1070.9,0,1.737273,11.414673,0.44995412,0.032062378,0.017380735,0.10432502,Suburb
1734350,ROCK FALLS ESD 13                                           ,17,IL,-0.0147536391520973,-0.0685980297364089,0.0044442755,0.0048095407,0.26915202,0.022784127,0.69881004,0.61543536,0.74169648,0.025147669,0.18229175,641,0.0024853796,-0.67578948,10.586018,0.078092955,0.065873921,0.17673868,0.24174798,Town
1734410,ROCK ISLAND SD 41                                           ,17,IL,-0.129318440665498,-0.131831917178344,0.0019761189,0.04374557,0.1476182,0.32947317,0.47718695,0.56902051,0.64709252,0.082987346,0.15395419,2872.6,0.094468743,-0.45217466,10.685712,0.21184078,0.089374192,0.15269902,0.23319103,Urban
1734440,ROCKRIDGE CUSD 300                                          ,17,IL,0.100963557988926,0.135284355042088,0,0.00095967151,0.014366919,0.0063520852,0.97832131,0.14442065,0.2068454,0.0011682358,0.15977149,529.3,0.00092019379,1.1246798,11.102258,0.21198107,0.035143435,0.034658127,0.093527302,Rural
1734470,ROCKDALE SD 84                                              ,17,IL,-0.178679816449422,-0.0613800263330261,0.0059385179,0.0039827921,0.57483494,0.050110433,0.36513332,0.63318539,0.71489978,0.098522432,0.13614705,179.2,0,-0.23951283,10.817208,0.12061799,0.075641178,0.12329116,0.23081614,Suburb
1734510,ROCKFORD SD 205                                             ,17,IL,-0.101951027792084,-0.0856963742132683,0.0020761706,0.04109982,0.28004831,0.32122108,0.35555464,0.64612949,0.73933727,0.11868227,0.1509148,12312.7,0.13138454,-0.63325483,10.697572,0.21566378,0.10482927,0.16979681,0.24730904,Urban
1734540,ROCKTON SD 140                                              ,17,IL,0.318047456013303,0.315768390393674,0.0020049699,0.020291438,0.055184867,0.025579907,0.8969388,0.18674795,0.26191497,0.0066389986,0.12264688,1039.2,0,1.0514381,11.203224,0.28601301,0.064746924,0.038115855,0.13578942,Suburb
1734590,ROME CCSD 2                                                 ,17,IL,-0.100431313728507,0.0212256979878774,0,0.026643468,0.0064668041,0.0061292821,0.96076041,0.30764461,0.36193079,0.00029239766,0.13666634,199.4,0,0.28189754,10.824962,0.17307249,0.057631094,0.12541161,0.12953737,Rural
1734620,RONDOUT SD 72                                               ,17,IL,0.37898784267889,0.357912142205571,0,0.1345329,0.10875683,0.028274659,0.72843564,0.076186381,0.087728001,0.050951269,0.21481326,105.1,0,2.2083142,11.903233,0.53393787,0.042410024,0.021256395,0.058074512,Suburb
1734710,ROSELLE SD 12                                               ,17,IL,0.231366465224296,0.20573283321555,0.0016535826,0.03434075,0.093793146,0.016085101,0.85412741,0.15307359,0.22431141,0.11099207,0.15775637,467.9,0,1.482996,11.362492,0.40039796,0.048041359,0.034322351,0.094438657,Suburb
1734740,SCHAUMBURG CCSD 54                                          ,17,IL,0.426986095265514,0.380584980293716,0.0044691837,0.22449532,0.23427846,0.069119059,0.46763796,0.19494426,0.20493613,0.13926557,0.1162449,9297.9,0.0564484,1.1942267,11.215175,0.41085196,0.05055761,0.045718864,0.14092371,Urban
1734770,ROSEMONT ESD 78                                             ,17,IL,0.25423988315305,0.163901669329446,0.0026146295,0.033798486,0.31180274,0.020235671,0.63154846,0.24890822,0.34350777,0.10819551,0.14777245,155.4,0,0.47486147,10.891176,0.24658924,0.050405439,0.058440346,0.18693788,Suburb
1734870,ROSSVILLE-ALVIN CUSD 7                                      ,17,IL,-0.175038722881108,-0.123162245675382,0.0040754848,0.0032416114,0.057915058,0.0086783813,0.92608947,0.41889933,0.51388335,0.0023978718,0.23557279,180.5,0,0.20988807,10.855714,0.14292741,0.06528639,0.10994346,0.14115891,Rural
1734990,ROUND LAKE CUSD 116                                         ,17,IL,-0.188594856970363,-0.169311982794766,0.0036217901,0.017847195,0.7431398,0.071086474,0.16430475,0.611265,0.69231224,0.25919491,0.15849279,3330,0.014359294,0.28904763,11.048259,0.18960561,0.071493961,0.10548925,0.16627029,Suburb
1735010,ROXANA CUSD 1                                               ,17,IL,-0.0647735147502406,-0.091757511417966,0.00020000004,0.0046443995,0.031532913,0.017940545,0.94568217,0.48373592,0.54324871,0.0018232598,0.14812791,827.1,0.0047425474,-0.13682187,10.831229,0.14876969,0.066178784,0.14755023,0.19407353,Suburb
1735100,RUTLAND CCSD 230                                            ,17,IL,0.270496566302402,0.210276357878586,0.0015342378,0,0.070507675,0.016019255,0.91193885,0.26668417,0.32961613,0,0.19169959,48.1,0,0.80213499,11.038487,0.15373792,0.064168118,0.043917328,0.057880115,Rural
1735160,SALEM SD 111                                                ,17,IL,0.0011773779861309,0.159708235000885,0.0013265521,0.011912877,0.0075785001,0.0048305057,0.97435158,0.49245086,0.53691065,0.00052462239,0.17699032,624.4,0,-0.48793229,10.577081,0.18093303,0.073664434,0.16975984,0.19265549,Town
1735220,SALT CREEK SD 48                                            ,17,IL,0.111601973714404,0.195513811100471,0.0022591448,0.131345,0.15208776,0.098196372,0.6161117,0.28241119,0.35938311,0.080621064,0.13520816,309.2,0,1.3695813,11.181253,0.43136758,0.04577893,0.024362868,0.1181603,Suburb
1735310,SANDOVAL CUSD 501                                           ,17,IL,-0.252277454491601,-0.245350395655221,0.0021480613,0.0018903004,0.004813971,0.0052189198,0.98592877,0.68645018,0.73728395,0.0027185029,0.24452172,214.7,0,-1.2072271,10.521356,0.097447418,0.093629353,0.25560018,0.20538945,Rural
1735340,SANDRIDGE SD 172                                            ,17,IL,-0.250975752255106,-0.254101606572135,0.00052770448,0.0013977283,0.20544383,0.49647695,0.29615378,0.65473765,0.69926083,0.072767816,0.19519183,260.9,0,-1.2244842,10.762747,0.19117782,0.11566687,0.15184486,0.27583912,Suburb
1735370,SANDWICH CUSD 430                                           ,17,IL,0.0753555765052083,0.0436850358534418,0.0014981445,0.011849321,0.13303789,0.0014482613,0.85216635,0.29142731,0.36990428,0.038871795,0.14789665,993.1,0.00067783857,0.87951338,11.119949,0.18405546,0.052090321,0.057712574,0.1197771,Suburb
1735400,SARATOGA CCSD 60C                                           ,17,IL,0.194674203765641,0.215196900207437,0.0040784678,0.013997642,0.11096236,0.021161184,0.84980035,0.27764058,0.3182444,0.028435292,0.15095574,514,0,0.70157474,11.063944,0.2616595,0.058381092,0.087023094,0.12293568,Town
1735460,CCSD 168                                                    ,17,IL,-0.416951246278886,-0.341328110245005,0.0043907538,0.0017946529,0.1156584,0.81255186,0.065604351,0.64263541,0.69817173,0.033237144,0.17231253,964.1,0,-1.6004411,10.724677,0.12642574,0.13323183,0.211211,0.36313468,Suburb
1735610,SCALES MOUND CUSD 211                                       ,17,IL,0.207346114243444,0.160566576211793,0,0,0.0034284405,0.0014097744,0.99516177,0.17861398,0.2696512,0.0011857707,0.1372828,96.7,0,1.2315863,11.085293,0.2586875,0.046731699,0.031167796,0.054476969,Rural
1735640,SCHILLER PARK SD 81                                         ,17,IL,0.0204466205045456,0.113189557877018,0.0086769769,0.063486755,0.4373742,0.016583562,0.4738785,0.48962888,0.66127658,0.2808702,0.11324769,781,0,0.33668467,10.86186,0.1803305,0.070676908,0.068740912,0.17331819,Suburb
1735770,SELMAVILLE CCSD 10                                          ,17,IL,-0.116427175245281,0.0233902938283547,0,0.010534428,0.0043886136,0.0079119783,0.97716498,0.29990885,0.36828667,0,0.15222874,153.2,0,0.6510576,10.979585,0.16984904,0.062244035,0.075457886,0.10456465,Rural
1735820,SENECA CCSD 170                                             ,17,IL,0.138103884083256,0.166741154574925,0.0013362716,0.0012962244,0.036031622,0.0070065437,0.95432931,0.25785527,0.31450129,0.0012313856,0.12814967,331.6,0,0.30003989,11.076023,0.18706004,0.080131948,0.080968328,0.17857695,Rural
1735940,SESSER-VALIER CUSD 196                                      ,17,IL,-0.0812394537820879,-0.0593400722241728,0.0037594847,0.0052279574,0.02003574,0,0.97097683,0.38565865,0.46198151,0,0.13746272,309.9,0,-0.3094379,10.700045,0.15786035,0.070114449,0.1277837,0.22950399,Rural
1735970,INDIAN CREEK CUSD 425                                       ,17,IL,0.161715757036422,0.141862993398544,0.0024394968,0.0037576954,0.030283503,0.012497191,0.95102209,0.22212064,0.28129604,0.010474675,0.1362206,340.3,0.0018328961,0.75151014,11.090675,0.19208302,0.055164628,0.078037441,0.11860597,Rural
1736090,SHELBYVILLE CUSD 4                                          ,17,IL,0.190362565090376,0.265772707009179,0.0018646646,0.0040544295,0.0057328376,0.0050002551,0.98334783,0.364494,0.44881305,0.00015885624,0.12999596,538.1,0,0.22754383,10.74367,0.17343083,0.067725591,0.084272087,0.14601168,Town
1736180,SHERRARD CUSD 200                                           ,17,IL,0.126522673391814,0.0725190304365062,0.0015262114,0.0067714304,0.042733066,0.010431703,0.9385376,0.23229823,0.2983686,0.0011850827,0.12353993,690.9,0.0031225232,0.80257857,11.018587,0.17799552,0.050259329,0.053035911,0.11827372,Rural
1736210,SHILOH VILLAGE SD 85                                        ,17,IL,0.31836093299195,0.246938807836996,0.0042268601,0.026378961,0.050299011,0.15861042,0.76048476,0.22580881,0.29735768,0.0025402911,0.16181855,381.9,0,1.3670093,11.25012,0.41379255,0.062613562,0.043853089,0.071288273,Suburb
1736240,SHIRLAND CCSD 134                                           ,17,IL,0.199906070777552,0.145881266838757,0.0018137394,0.0051126475,0.021384438,0,0.97168916,0.21020797,0.23716059,0.0028571428,0.19750702,90.2,0,1.1910883,11.18206,0.23683517,0.054912452,0.040524412,0.072920404,Rural
1736300,ESD 159                                                     ,17,IL,-0.0774279445067028,-0.000594497493696593,0.0012525045,0.0055190315,0.061325178,0.90445256,0.027450744,0.57815039,0.66325259,0.024264403,0.15945986,1310.6,0.013813301,0.50794613,11.153614,0.31569207,0.088344179,0.064416461,0.23647012,Suburb
1736330,SIGNAL HILL SD 181                                          ,17,IL,0.21246616445302,0.214002634408109,0.0030890706,0.014000745,0.020100189,0.44464055,0.5181694,0.37834492,0.47478211,0.0041568596,0.18637499,234.6,0,0.38933095,10.963337,0.35379311,0.08097145,0.093051024,0.18050192,Suburb
1736360,SILVIS SD 34                                                ,17,IL,-0.276327199926709,-0.175799359974074,0.00077258353,0.013438473,0.24856442,0.095110759,0.64211375,0.49838832,0.58452874,0.056231178,0.15640104,380.4,0,-0.65179932,10.688929,0.099195808,0.080315918,0.15741771,0.24882612,Suburb
1736450,SKOKIE SD 68                                                ,17,IL,0.162904367116421,0.176553784750285,0.0020560594,0.33806473,0.15965761,0.11173705,0.38848454,0.39813858,0.48484895,0.11413267,0.15096119,1203.5,0.0013143572,0.86384708,11.125048,0.46199864,0.068950936,0.090510905,0.14176466,Urban
1736480,SKOKIE SD 69                                                ,17,IL,0.0613787626485215,0.100028302099102,0.0012507542,0.30516723,0.18427157,0.12751572,0.38179472,0.46469316,0.54908133,0.13235962,0.1308201,1088.4,0,0.29557464,10.83829,0.41522437,0.077724993,0.11304963,0.19350189,Urban
1736510,SMITHTON CCSD 130                                           ,17,IL,0.265033321188303,0.201894089583437,6.9319452e-05,0.011885988,0.0071827872,0.007162367,0.97369957,0.086400583,0.11038338,0.00059446628,0.14213832,342,0,1.2541813,11.146549,0.25764766,0.054480471,0.022605905,0.054482657,Town
1736570,SOMONAUK CUSD 432                                           ,17,IL,0.0728774801035529,0.2140161497458,0.0028095683,0.0037656326,0.06418696,0.0055023939,0.92373544,0.18858829,0.22513317,0.0011998974,0.1502125,398.8,0,0.92728317,11.206007,0.21014628,0.057319589,0.076384194,0.10798294,Town
1736600,COUNTY OF WINNEBAGO SD 320                                  ,17,IL,-0.0834216929639796,-0.0265368615918825,0.0016901669,0.0040022018,0.25221699,0.040643428,0.70144719,0.60073715,0.67103481,0.052215502,0.14291014,451.2,0,-0.4055087,10.601288,0.10658792,0.084604971,0.13391684,0.15185559,Suburb
1736610,SOUTHEASTERN CUSD 337                                       ,17,IL,-0.0578134608513057,-0.0105782456883399,0.0023355871,0,0.0022946803,0.00044843051,0.99492133,0.49634337,0.61654544,0.00059288536,0.23176235,223.9,0,-0.13447182,10.679912,0.13869517,0.074501283,0.1094167,0.10391732,Rural
